"","date","day","run","fragment_ID","genus","family","jar","salinity","net_photo_ug_h","respiration_ug_h","gross_photo_ug_h","O2_start_L","O2_end_L","O2_start_D","O2_end_D","sum_surface_cm2","sum_volume_cm3","net_photo_h_surface","respiration_h_surface","gross_photo_h_surface","category","species"
"69",2019-07-24,"3","2","MdiD3","Montipora","Acroporidae",6,"34.4",995.2445,552.6916,1547.9361,7,7.55,7.5,7.13,26.3054,3571.41,37.8342279531959,21.0105757753161,58.844803728512,"single","Mdi"
"70",2019-07-24,"3","2","PruD3","Porites","Poritidae",7,"34.4",545.6509,342.737,888.3879,7,7.32,7.3,7.03,15.6084,4211.4,34.9587978268112,21.9584967069014,56.9172945337126,"single","Pru"
"71",2019-07-24,"3","2","PruE3","Porites","Poritidae",8,"34.4",363.7673,192.683,556.4503,7,7.22,7.13,6.94,15.0049,3860.26,24.2432338769335,12.8413384960913,37.0845723730248,"single","Pru"
"72",2019-07-24,"3","2","PruA3","Porites","Poritidae",9,"34.4",291.0138,211.4397,502.4535,7.03,7.21,7.13,6.93,18.6408,5379.15,15.6116582979271,11.3428447276941,26.9545030256212,"single","Pru"
"73",2019-07-24,"3","3","SpiA4","Stylophora","Pocilloporidae",1,"34.4",781.4577,1041.9134,1823.3711,6.89,7.36,7.66,7.07,39.6715,6484.63,19.6982140831579,26.2635241924303,45.9617382755883,"single","Spi"
"74",2019-07-24,"3","3","SpiB3","Stylophora","Pocilloporidae",2,"34.4",553.8758,780.5694,1334.4452,6.97,7.35,7.51,7.02,25.3771,5065.74,21.8258114599383,30.758810108326,52.5846215682643,"single","Spi"
"75",2019-07-24,"3","3","SpiD4","Stylophora","Pocilloporidae",3,"34.4",985.281,829.5789,1814.8599,6.99,7.6,7.76,7.26,28.5014,6490.73,34.5695650038244,29.1066017809651,63.6761667847895,"single","Spi"
"76",2019-07-24,"3","3","MdiC4","Montipora","Acroporidae",4,"34.4",891.4973,825.4719,1716.9692,7,7.56,7.64,7.11,21.3267,3411.4,41.801933726268,38.7060304688489,80.5079641951169,"single","Mdi"
"77",2019-07-24,"3","3","MdiA4","Montipora","Acroporidae",5,"34.4",823.2909,797.1194,1620.4103,7.01,7.55,7.57,7.04,30.3893,4938.8,27.0914729855574,26.2302652578375,53.3217382433949,"single","Mdi"
"78",2019-07-24,"3","3","MdiD4","Montipora","Acroporidae",6,"34.4",896.0444,721.2575,1617.3019,7.03,7.61,7.54,7.01,37.309,4987.15,24.0168431209628,19.3319976413198,43.3488407622826,"single","Mdi"
"79",2019-07-24,"3","3","PruD4","Porites","Poritidae",7,"34.4",641.4073,414.3191,1055.7264,7.01,7.45,7.31,6.96,17.8523,5232.45,35.9285526234715,23.208163653983,59.1367162774544,"single","Pru"
"80",2019-07-24,"3","3","PruE4","Porites","Poritidae",8,"34.4",314.0167,230.8523,544.869,6.99,7.25,7.15,6.91,17.5779,5018.48,17.8642898184652,13.133098948111,30.9973887665762,"single","Pru"
