"","Filename","jar","run","day","S","TA_mmolL","fragment_ID"
"225","Alkalinity_preT7_5_09_08_19_12_01_29","6","2","15",35.6,2.61492889727968,"AmuA1"
"226","Alkalinity_preT7_5_09_08_19_12_44_27","8","2","15",35.6,2.61144384561946,"PloC1"
"227","Alkalinity_preT7_5_09_08_19_12_56_34","9","2","15",35.6,2.61825297145655,"PloD1"
"228","Alkalinity_preT7_5_09_08_19_13_04_22","10","2","15",35.6,2.61757042170147,"control"
"229","Alkalinity_preT7_5_09_08_19_13_33_43","1","3","15",35.6,2.53982921599309,"PveF3"
"230","Alkalinity_preT7_5_09_08_19_13_40_45","2","3","15",35.6,2.56382968952262,"PveA2"
"231","Alkalinity_preT7_5_09_08_19_13_47_39","3","3","15",35.6,2.570426368327,"PveB3"
"232","Alkalinity_preT7_5_09_08_19_13_55_11","4","3","15",35.6,2.58732788593441,"AmuD2"
"233","Alkalinity_preT7_5_09_08_19_14_02_13","5","3","15",35.6,2.59149459026516,"AmuB2"
"234","Alkalinity_preT7_5_09_08_19_14_09_05","6","3","15",35.6,2.58069051681449,"AmuA2"
"235","Alkalinity_preT7_5_09_08_19_14_15_12","7","3","15",35.6,2.58107509112827,"PloB2"
"236","Alkalinity_preT7_5_09_08_19_14_23_05","8","3","15",35.6,2.5766472914971,"PloC2"
"237","Alkalinity_preT7_5_09_08_19_14_30_06","9","3","15",35.6,2.59153783904035,"PloD2"
"238","Alkalinity_preT7_5_09_08_19_14_38_37","10","3","15",35.6,2.60390396839767,"control"
"239","Alkalinity_preT7_5_10_08_19_09_38_56","1","1","16",35.4,2.64155536855808,"PdaA4"
"240","Alkalinity_preT7_5_10_08_19_09_52_30","2","1","16",35.4,2.64227895913905,"PdaB4"
"241","Alkalinity_preT7_5_10_08_19_09_59_46","3","1","16",35.4,2.6463612404867,"PdaD4"
"242","Alkalinity_preT7_5_10_08_19_10_06_47","4","1","16",35.4,2.63484546117028,"AcyB4"
"243","Alkalinity_preT7_5_10_08_19_10_13_56","5","1","16",35.4,2.6433665256349,"AcyD3"
"244","Alkalinity_preT7_5_10_08_19_10_20_17","6","1","16",35.4,2.63737943555132,"AcyA3"
"245","Alkalinity_preT7_5_10_08_19_10_27_10","7","1","16",35.4,2.62954065056894,"PcyB4"
"246","Alkalinity_preT7_5_10_08_19_10_33_40","8","1","16",35.4,2.63264565404447,"PcyC4"
"247","Alkalinity_preT7_5_10_08_19_10_40_09","9","1","16",35.4,2.64405316499877,"PcyA4"
"248","Alkalinity_preT7_5_10_08_19_10_46_38","10","1","16",35.4,2.63984379638271,"control"
"249","Alkalinity_preT7_5_10_08_19_10_54_29","11","1","16",35.4,2.63517944156008,"PdaD2"
"250","Alkalinity_preT7_5_10_08_19_11_31_04","1","2","16",35.4,2.61323851702535,"PdaA1"
"251","Alkalinity_preT7_5_10_08_19_11_38_50","2","2","16",35.4,2.59776844223298,"PdaB1"
"252","Alkalinity_preT7_5_10_08_19_11_45_27","3","2","16",35.4,2.62156021592093,"PdaD1"
"253","Alkalinity_preT7_5_10_08_19_11_52_33","4","2","16",35.4,2.63350682556754,"AcyB1"
"254","Alkalinity_preT7_5_10_08_19_11_59_42","5","2","16",35.4,2.64376976835403,"AcyD1"
"255","Alkalinity_preT7_5_10_08_19_12_06_51","6","2","16",35.4,2.62750479291931,"AcyA1"
"256","Alkalinity_preT7_5_10_08_19_12_13_38","7","2","16",35.4,2.61559395579467,"PcyB1"
"257","Alkalinity_preT7_5_10_08_19_12_20_30","8","2","16",35.4,2.61838345309506,"PcyC1"
"258","Alkalinity_preT7_5_10_08_19_12_26_44","9","2","16",35.4,2.62367171045791,"PcyA1"
"259","Alkalinity_preT7_5_10_08_19_12_33_13","10","2","16",35.4,2.61871969840441,"control"
"260","Alkalinity_preT7_5_10_08_19_12_40_04","11","2","16",35.4,2.60349571781019,"PloB1"
"261","Alkalinity_preT7_5_10_08_19_13_25_46","1","3","16",35.4,2.59314879564002,"PdaA2"
"262","Alkalinity_preT7_5_10_08_19_13_34_06","2","3","16",35.4,2.57466208979487,"PdaB2"
"263","Alkalinity_preT7_5_10_08_19_13_40_04","3","3","16",35.4,2.5956197940693,"PdaD2"
"264","Alkalinity_preT7_5_10_08_19_13_46_20","4","3","16",35.4,2.59572567415769,"AcyB3"
"265","Alkalinity_preT7_5_10_08_19_13_53_00","5","3","16",35.4,2.60559896442458,"AcyD2"
"266","Alkalinity_preT7_5_10_08_19_13_59_10","6","3","16",35.4,2.60982460911128,"AcyA2"
"267","Alkalinity_preT7_5_10_08_19_14_05_03","7","3","16",35.4,2.59358453013716,"PcyB2"
"268","Alkalinity_preT7_5_10_08_19_14_11_48","8","3","16",35.4,2.60112961449142,"PcyC3"
"269","Alkalinity_preT7_5_10_08_19_14_19_24","9","3","16",35.4,2.59502076067429,"PcyA2"
"270","Alkalinity_preT7_5_10_08_19_14_26_07","10","3","16",35.4,2.60887817497296,"control"
"271","Alkalinity_preT7_5_12_08_19_09_36_31","1","1","17",35.5,2.59908643914312,"SpiA4"
